event_id,summary_id,sidx,loss
76,1,-1,19613.75
76,1,1,28717.81
77,1,-1,76449.87
77,1,1,103407.45
78,1,-1,59724.05
78,1,1,91034.65
79,1,-1,33443.07
79,1,1,64052.48
80,1,-1,18102.79
80,1,1,41650.63
81,1,-1,48494.59
81,1,1,92333.33
82,1,-1,56938.04
82,1,1,93365.94
83,1,-1,72792.22
83,1,1,89096.61
84,1,-1,37943.55
84,1,1,55465.99
85,1,-1,47833.14
85,1,1,70391.52
86,1,-1,151066.50
86,1,1,50651.38
87,1,-1,76514.84
87,1,1,36080.33
88,1,-1,45597.20
88,1,1,100287.85
89,1,-1,24697.90
89,1,1,67146.15
90,1,-1,69708.45
90,1,1,39550.35
91,1,-1,161667.84
91,1,1,69183.52
92,1,-1,89497.50
92,1,1,101821.93
93,1,-1,79393.16
93,1,1,107141.23
94,1,-1,130375.71
94,1,1,57135.62
95,1,-1,117852.33
95,1,1,126401.56
96,1,-1,138516.31
96,1,1,31832.54
97,1,-1,119322.73
97,1,1,56527.40
98,1,-1,11513.39
98,1,1,62453.93
99,1,-1,70418.85
99,1,1,102574.66
100,1,-1,42361.52
100,1,1,61085.66
101,1,-1,48400.95
101,1,1,75299.49
102,1,-1,154146.95
102,1,1,64990.61
103,1,-1,48413.16
103,1,1,93165.72
104,1,-1,96116.56
104,1,1,37681.93
105,1,-1,17566.34
105,1,1,102248.79
106,1,-1,64877.48
106,1,1,40717.08
107,1,-1,152338.94
107,1,1,29880.19
108,1,-1,93728.30
108,1,1,17723.21
109,1,-1,87026.02
109,1,1,102847.57
110,1,-1,121040.94
110,1,1,99056.24
111,1,-1,90247.84
111,1,1,10034.51
112,1,-1,37111.95
112,1,1,73868.12
113,1,-1,64841.64
113,1,1,77312.70
114,1,-1,26135.27
114,1,1,23255.55
115,1,-1,35507.65
115,1,1,14857.74
116,1,-1,14314.82
116,1,1,74677.62
117,1,-1,87833.05
117,1,1,82777.44
118,1,-1,87100.82
118,1,1,53400.52
119,1,-1,109545.27
119,1,1,40235.04
120,1,-1,110171.81
120,1,1,93599.91
121,1,-1,73403.12
121,1,1,26344.90
122,1,-1,136465.38
122,1,1,89082.69
123,1,-1,8901.42
123,1,1,123546.49
124,1,-1,56580.08
124,1,1,30774.68
125,1,-1,170151.22
125,1,1,125157.30
126,1,-1,162953.59
126,1,1,97842.55
127,1,-1,93243.09
127,1,1,83533.78
128,1,-1,95614.22
128,1,1,43621.75
129,1,-1,78707.37
129,1,1,148788.52
130,1,-1,86686.28
130,1,1,61360.43
131,1,-1,78005.64
131,1,1,120872.00
132,1,-1,95892.38
132,1,1,152300.73
133,1,-1,95369.54
133,1,1,88426.39
134,1,-1,27714.95
134,1,1,85863.00
135,1,-1,53315.97
135,1,1,127443.59
136,1,-1,74925.71
136,1,1,113860.05
137,1,-1,25436.14
137,1,1,72506.50
138,1,-1,91425.82
138,1,1,61382.56
139,1,-1,131702.41
139,1,1,54714.86
140,1,-1,89321.68
140,1,1,136761.14
141,1,-1,96794.48
141,1,1,89985.59
142,1,-1,5696.84
142,1,1,73358.70
143,1,-1,66661.40
143,1,1,83361.48
144,1,-1,61125.65
144,1,1,119298.62
145,1,-1,152916.48
145,1,1,27501.17
146,1,-1,105140.66
146,1,1,33157.51
147,1,-1,90497.88
147,1,1,78163.31
148,1,-1,29420.72
148,1,1,54287.98
149,1,-1,83113.54
149,1,1,29558.00
150,1,-1,76421.12
150,1,1,112513.55
151,1,-1,77109.04
151,1,1,117024.41
152,1,-1,128500.20
152,1,1,85796.61
153,1,-1,98195.20
153,1,1,139443.94
154,1,-1,53007.98
154,1,1,38466.07
155,1,-1,131176.73
155,1,1,61806.45
156,1,-1,52894.45
156,1,1,103327.42
157,1,-1,28909.40
157,1,1,147936.41
