summary_id,type,return_period,loss
1,1,1.824818,79532.250000
1,1,1.821494,79522.960938
1,1,1.818182,79268.257812
1,1,1.814882,79170.609375
1,1,1.811594,78507.570312
1,1,1.808318,78205.523438
1,1,1.805054,78027.445312
1,1,1.801802,78005.640625
1,1,1.798561,77874.398438
1,1,1.795332,77539.656250
1,1,1.792115,76882.039062
1,1,1.788909,76652.726562
1,1,1.785714,76539.125000
1,1,1.782531,76467.726562
1,1,1.779359,75967.531250
1,1,1.776199,75593.468750
1,1,1.773050,75470.273438
1,1,1.769912,75207.390625
1,1,1.766784,75102.695312
1,1,1.763668,74925.710938
1,1,1.760563,74471.992188
1,1,1.757469,74406.242188
1,1,1.754386,74348.539062
1,1,1.751313,74097.984375
1,1,1.748252,74042.593750
1,1,1.745201,73911.335938
1,1,1.742160,73848.132812
1,1,1.739130,73728.656250
1,1,1.736111,73679.164062
1,1,1.733102,73172.859375
1,1,1.730104,72933.554688
1,1,1.727116,72792.218750
1,1,1.724138,72182.460938
1,1,1.721170,71573.382812
1,1,1.718213,71496.218750
1,1,1.715266,71414.570312
1,1,1.712329,71319.531250
1,1,1.709402,71233.328125
1,1,1.706485,71190.125000
1,1,1.703578,71094.664062
1,1,1.700680,71026.773438
1,1,1.697793,70977.171875
1,1,1.694915,70775.320312
1,1,1.692047,70628.062500
1,1,1.689189,70426.250000
1,1,1.686341,70418.851562
1,1,1.683502,69824.601562
1,1,1.680672,69708.445312
1,1,1.677852,69540.117188
1,1,1.675042,69512.351562
1,1,1.672241,69442.468750
1,1,1.669449,69228.781250
1,1,1.666667,69047.679688
1,1,1.663894,68950.718750
1,1,1.661130,68829.007812
1,1,1.658375,68603.578125
1,1,1.655629,68448.335938
1,1,1.652893,68322.437500
1,1,1.650165,68185.156250
1,1,1.647446,67901.453125
1,1,1.644737,67840.421875
1,1,1.642036,67434.992188
1,1,1.639344,66788.710938
1,1,1.636661,66727.078125
1,1,1.633987,66661.398438
1,1,1.631321,66397.750000
1,1,1.628664,66360.023438
1,1,1.626016,66327.468750
1,1,1.623377,66208.242188
1,1,1.620746,64877.476562
1,1,1.618123,64841.644531
1,1,1.615509,64728.765625
1,1,1.612903,64596.914062
1,1,1.610306,64515.488281
1,1,1.607717,64373.398438
1,1,1.605136,64062.625000
1,1,1.602564,63969.906250
1,1,1.600000,63272.175781
1,1,1.597444,62465.789062
1,1,1.594896,61877.949219
1,1,1.592357,61855.011719
1,1,1.589825,61721.667969
1,1,1.587302,60776.898438
1,1,1.584786,60617.718750
1,1,1.582278,60599.703125
1,1,1.579779,60425.214844
1,1,1.577287,59922.121094
1,1,1.574803,59277.132812
1,1,1.572327,59119.164062
1,1,1.569859,59050.468750
1,1,1.567398,58868.539062
1,1,1.564945,58089.414062
1,1,1.562500,57988.058594
1,1,1.560062,57962.410156
1,1,1.557632,57372.718750
1,1,1.555210,57177.496094
1,1,1.552795,57113.398438
1,1,1.550388,56938.042969
1,1,1.547988,56580.078125
1,1,1.545595,56510.691406
1,1,1.543210,56170.292969
1,1,1.540832,55986.187500
1,1,1.538462,54757.656250
1,1,1.536098,54534.808594
1,1,1.533742,54278.031250
1,1,1.531394,53918.464844
1,1,1.529052,53824.144531
1,1,1.526718,53689.917969
1,1,1.524390,53375.992188
1,1,1.522070,53315.972656
1,1,1.519757,52113.105469
1,1,1.517451,51709.652344
1,1,1.515152,51604.996094
1,1,1.512859,51561.902344
1,1,1.510574,51071.929688
1,1,1.508296,50702.457031
1,1,1.506024,50669.636719
1,1,1.503759,50502.992188
1,1,1.501502,50126.253906
1,1,1.499250,50115.425781
1,1,1.497006,50072.648438
1,1,1.494768,49915.664062
1,1,1.492537,49530.332031
1,1,1.490313,49027.339844
1,1,1.488095,49005.519531
1,1,1.485884,48904.468750
1,1,1.483680,48788.078125
1,1,1.481481,48700.671875
1,1,1.479290,48401.257812
1,1,1.477105,48400.949219
1,1,1.474926,48093.460938
1,1,1.472754,47833.136719
1,1,1.470588,47593.312500
1,1,1.468429,47564.785156
1,1,1.466276,47043.164062
1,1,1.464129,46305.210938
1,1,1.461988,46095.835938
1,1,1.459854,46064.433594
1,1,1.457726,45597.195312
1,1,1.455604,44736.707031
1,1,1.453488,44617.480469
1,1,1.451379,44573.945312
1,1,1.449275,43590.730469
1,1,1.447178,43527.050781
1,1,1.445087,42687.980469
1,1,1.443001,42604.417969
1,1,1.440922,41997.449219
1,1,1.438849,41635.050781
1,1,1.436782,41617.015625
1,1,1.434720,41540.636719
1,1,1.432665,41444.769531
1,1,1.430615,40663.386719
1,1,1.428571,40408.339844
1,1,1.426534,39515.378906
1,1,1.424501,38788.867188
1,1,1.422475,38583.753906
1,1,1.420455,38522.351562
1,1,1.418440,38407.531250
1,1,1.416431,38400.519531
1,1,1.414427,37704.269531
1,1,1.412429,37661.070312
1,1,1.410437,37436.078125
1,1,1.408451,36384.289062
1,1,1.406470,36150.125000
1,1,1.404494,35813.484375
1,1,1.402525,35761.113281
1,1,1.400560,35681.179688
1,1,1.398601,35604.039062
1,1,1.396648,35507.652344
1,1,1.394700,35453.644531
1,1,1.392758,35138.562500
1,1,1.390821,34971.386719
1,1,1.388889,34074.773438
1,1,1.386963,33443.070312
