event_id,output_id,sidx,loss
5,7,-3,49145.30
5,7,-1,3910.76
5,7,1,144.67
5,8,-3,19658.12
5,8,-1,776.85
5,8,1,151.55
6,1,-3,982906.00
6,1,-1,23043.30
6,1,1,15502.36
6,2,-3,98290.60
6,2,-1,741.56
6,2,1,4911.43
6,3,-3,49145.30
6,3,-1,414.04
6,3,1,1302.40
6,4,-3,19658.12
6,4,-1,294.76
6,4,1,738.71
6,5,-3,982906.00
6,5,-1,8260.51
6,5,1,27074.13
6,6,-3,98290.60
6,6,-1,1162.06
6,6,1,5351.62
6,7,-3,49145.30
6,7,-1,1194.91
6,7,1,806.65
6,8,-3,19658.12
6,8,-1,1.41
6,8,1,1103.11
7,1,-3,982906.00
7,1,-1,21004.04
7,1,1,44992.02
7,2,-3,98290.60
7,2,-1,3280.40
7,2,1,2191.52
7,3,-3,49145.30
7,3,-1,2494.90
7,3,1,2739.88
7,4,-3,19658.12
7,4,-1,801.42
7,4,1,1388.84
7,5,-3,982906.00
7,5,-1,72089.62
7,5,1,68618.61
7,6,-3,98290.60
7,6,-1,3792.86
7,6,1,4849.54
7,7,-3,49145.30
7,7,-1,596.53
7,7,1,1014.68
7,8,-3,19658.12
7,8,-1,1263.07
7,8,1,1244.24
8,1,-3,982906.00
8,1,-1,74475.55
8,1,1,68678.41
8,2,-3,98290.60
8,2,-1,1677.32
8,2,1,624.27
8,3,-3,49145.30
8,3,-1,2760.42
8,3,1,914.51
8,4,-3,19658.12
8,4,-1,1137.18
8,4,1,1229.92
8,5,-3,982906.00
8,5,-1,61450.86
8,5,1,55230.28
8,6,-3,98290.60
8,6,-1,1785.80
8,6,1,1192.00
8,7,-3,49145.30
8,7,-1,2514.49
8,7,1,313.30
8,8,-3,19658.12
8,8,-1,1070.82
8,8,1,503.58
9,1,-3,982906.00
9,1,-1,6519.56
9,1,1,8812.28
9,2,-3,98290.60
9,2,-1,1396.94
9,2,1,1343.16
9,3,-3,49145.30
9,3,-1,931.50
9,3,1,1898.22
9,4,-3,19658.12
9,4,-1,1450.35
9,4,1,1042.01
9,5,-3,982906.00
9,5,-1,25780.77
9,5,1,37147.48
9,6,-3,98290.60
9,6,-1,5827.36
9,6,1,2826.94
9,7,-3,49145.30
9,7,-1,1301.41
9,7,1,1951.26
9,8,-3,19658.12
9,8,-1,984.62
9,8,1,121.37
10,1,-3,982906.00
10,1,-1,73520.07
10,1,1,7641.45
10,2,-3,98290.60
10,2,-1,4766.44
10,2,1,5132.78
10,3,-3,49145.30
10,3,-1,3745.17
10,3,1,1203.63
10,4,-3,19658.12
10,4,-1,1078.92
10,4,1,1095.07
10,5,-3,982906.00
10,5,-1,62677.79
10,5,1,38719.70
10,6,-3,98290.60
10,6,-1,1050.40
10,6,1,552.57
10,7,-3,49145.30
10,7,-1,2708.37
10,7,1,3383.17
10,8,-3,19658.12
10,8,-1,158.85
10,8,1,5.85
11,1,-3,982906.00
11,1,-1,35376.56
11,1,1,25361.52
11,2,-3,98290.60
11,2,-1,6193.56
11,2,1,5633.03
11,3,-3,49145.30
11,3,-1,433.84
11,3,1,1913.80
11,4,-3,19658.12
11,4,-1,858.99
11,4,1,756.31
11,5,-3,982906.00
11,5,-1,21929.92
11,5,1,50655.36
11,6,-3,98290.60
11,6,-1,4652.77
11,6,1,1776.91
11,7,-3,49145.30
11,7,-1,62.96
11,7,1,34.45
11,8,-3,19658.12
11,8,-1,741.00
11,8,1,64.58
12,1,-3,982906.00
12,1,-1,67466.07
12,1,1,62617.68
12,2,-3,98290.60
12,2,-1,5645.50
12,2,1,5328.23
12,3,-3,49145.30
12,3,-1,2088.36
12,3,1,3384.47
12,4,-3,19658.12
12,4,-1,63.97
12,4,1,938.79
12,5,-3,982906.00
12,5,-1,27258.31
12,5,1,28687.47
12,6,-3,98290.60
12,6,-1,193.64
12,6,1,1590.33
12,7,-3,49145.30
12,7,-1,709.28
12,7,1,1888.11
12,8,-3,19658.12
12,8,-1,1270.18
12,8,1,1136.63
13,1,-3,982906.00
13,1,-1,66759.76
13,1,1,53353.57
13,2,-3,98290.60
13,2,-1,4680.57
13,2,1,2666.79
13,3,-3,49145.30
13,3,-1,724.46
13,3,1,369.31
13,4,-3,19658.12
13,4,-1,307.50
13,4,1,153.68
13,5,-3,982906.00
13,5,-1,68839.27
13,5,1,30631.57
13,6,-3,98290.60
13,6,-1,410.99
13,6,1,2829.60
13,7,-3,49145.30
13,7,-1,3146.15
13,7,1,1372.46
13,8,-3,19658.12
13,8,-1,589.38
13,8,1,117.66
14,1,-3,982906.00
14,1,-1,27606.90
14,1,1,30701.51
14,2,-3,98290.60
14,2,-1,6550.66
14,2,1,579.15
14,3,-3,49145.30
14,3,-1,373.89
14,3,1,1286.86
14,4,-3,19658.12
14,4,-1,903.20
14,4,1,664.62
14,5,-3,982906.00
14,5,-1,48877.64
14,5,1,48422.56
14,6,-3,98290.60
14,6,-1,678.33
14,6,1,309.11
14,7,-3,49145.30
14,7,-1,2796.32
14,7,1,714.72
14,8,-3,19658.12
14,8,-1,735.87
14,8,1,221.88
15,1,-3,982906.00
15,1,-1,18008.54
15,1,1,15720.09
15,2,-3,98290.60
15,2,-1,922.36
15,2,1,3861.94
15,3,-3,49145.30
15,3,-1,2166.77
15,3,1,2875.65
15,4,-3,19658.12
15,4,-1,408.75
15,4,1,1178.56
15,5,-3,982906.00
15,5,-1,58618.82
15,5,1,44851.49
15,6,-3,98290.60
15,6,-1,3126.76
15,6,1,6788.40
15,7,-3,49145.30
15,7,-1,1063.34
15,7,1,1322.44
15,8,-3,19658.12
15,8,-1,735.65
15,8,1,456.87
16,1,-3,982906.00
16,1,-1,26654.45
16,1,1,24390.52
16,2,-3,98290.60
16,2,-1,1717.81
16,2,1,3555.64
16,3,-3,49145.30
16,3,-1,1265.23
16,3,1,1767.47
16,4,-3,19658.12
16,4,-1,915.83
16,4,1,1170.10
16,5,-3,982906.00
16,5,-1,20696.22
16,5,1,60058.73
16,6,-3,98290.60
16,6,-1,304.53
16,6,1,1986.30
16,7,-3,49145.30
16,7,-1,534.57
16,7,1,3244.86
16,8,-3,19658.12
16,8,-1,309.82
16,8,1,1378.88
17,1,-3,982906.00
17,1,-1,64893.52
17,1,1,45621.00
17,2,-3,98290.60
17,2,-1,5338.19
17,2,1,315.49
17,3,-3,49145.30
17,3,-1,2536.86
17,3,1,66.65
17,4,-3,19658.12
17,4,-1,1162.68
17,4,1,193.18
17,5,-3,982906.00
17,5,-1,76637.37
17,5,1,16016.29
17,6,-3,98290.60
17,6,-1,4021.75
17,6,1,3120.70
17,7,-3,49145.30
17,7,-1,2721.59
17,7,1,810.42
17,8,-3,19658.12
17,8,-1,550.19
17,8,1,414.42
18,1,-3,982906.00
18,1,-1,11572.14
18,1,1,3378.17
18,2,-3,98290.60
18,2,-1,674.91
18,2,1,4769.85
18,3,-3,49145.30
18,3,-1,1240.44
18,3,1,2373.80
18,4,-3,19658.12
18,4,-1,759.59
18,4,1,491.51
18,5,-3,982906.00
18,5,-1,5963.05
18,5,1,10059.91
18,6,-3,98290.60
18,6,-1,1692.63
18,6,1,1334.42
18,7,-3,49145.30
18,7,-1,721.62
18,7,1,2081.09
18,8,-3,19658.12
18,8,-1,581.36
18,8,1,629.36
19,1,-3,982906.00
19,1,-1,45729.86
19,1,1,60941.35
